Cavité :	Amalgame
Système de coordonnées : UTM - fuseau 31
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		Chaine P36																723773.3	5021873.8	1641.7			

Galerie :	Pulpite vers Lac
Date du lever : 	08/05/2012	Déclinaison = 	-1.03 °
Operateurs :	F. de Felix	Pascal
mesures des longueurs :	
mesures des Azimuts :		 en degrés
mesures des Pentes :		 en degrés
	Chaine P36	>< 20-81	   0.0 °											  90.0 °				723773.3	5021873.8	1641.7			
Date du lever : 	26/09/2010	Déclinaison = 	-0.81 °
Operateurs :	O.Testa	O Testa
mesures des longueurs :	
mesures des Azimuts :		 en degrés
mesures des Pentes :		 en degrés
	20-81	   20-81	   0.0 °											  90.0 °				723773.3	5021873.8	1641.7			

Date du lever : 	06/08/2011	Déclinaison = 	0.87 °
Operateurs :	E. Vitte	P. Orchampt
mesures des longueurs :	
mesures des Azimuts :		 en degrés
mesures des Pentes :		 en degrés
	23-13	   23-14	 205.1 °	  12.7 °		5.47					0.3	1.0	2.4	  12.7 °	1.20	5.47	5.34	723778.3	5021881.8	1735.4	70.6		[0.30 327.6 -5.3][2.55 313.6 -70.4][1.11 275.1 5.8][0.97 20.0 6.4][1.05 244.0 83.2]

	23-14	   23-15	 268.6 °	   7.2 °		1.18				0.4		1.4	1.6	   7.2 °	0.15	1.18	1.17	723777.1	5021881.8	1735.6	71.8		[0.38 115.2 -0.1][1.24 86.4 3.8][0.96 124.6 0.9][0.66 146.2 -0.3][1.48 136.5 70.0][1.73 127.2 -71.4]

	23-15	   23-16	 147.2 °	  -1.7 °		1.02				0.3	1.0	1.8	2.8	  -1.7 °	-0.03	1.02	1.02	723777.7	5021880.9	1735.6	72.8		[0.25 89.0 3.9][0.95 188.7 5.5][1.92 202.8 10.8][2.81 203.8 -81.6][1.83 177.2 78.1]

	23-16	   23-17	 195.2 °	  -0.8 °		2.33				0.5		2.1	2.6	  -0.8 °	-0.03	2.33	2.33	723777.1	5021878.6	1735.5	75.1		[0.46 93.5 -2.9][1.18 156.9 -2.9][0.38 181.3 -0.5][2.21 184.4 79.0][2.57 179.8 -83.4]

	23-17	   23-18	 174.4 °	  10.9 °		1.56					0.3	2.0	2.6	  10.9 °	0.29	1.56	1.53	723777.3	5021877.1	1735.8	76.7		[0.25 289.5 -0.4][0.56 330.6 3.9][1.69 240.1 2.5][2.67 356.7 -85.4][2.13 251.5 77.1]

	23-18	   23-19	 222.7 °	   6.4 °		1.89				0.7		2.0	2.4	   6.4 °	0.21	1.89	1.88	723776.1	5021875.7	1736.0	78.6		[0.31 46.7 0.1][0.75 113.4 -1.9][2.08 160.2 77.2][2.53 80.4 -73.3]

	23-19	   23-20	 128.8 °	   4.0 °		0.81					0.3	2.2	2.5	   4.0 °	0.06	0.81	0.81	723776.7	5021875.2	1736.1	79.4		[0.33 274.1 -2.2][0.80 315.7 6.9][0.78 223.7 2.4][2.63 244.2 -66.3][2.39 236.5 70.6]

	23-20	   23-21	 249.1 °	   7.8 °		1.63				0.6		1.9	2.3	   7.8 °	0.22	1.63	1.61	723775.2	5021874.6	1736.3	81.0		[0.56 118.5 9.8][2.23 176.5 71.7][2.41 109.8 -87.7][1.92 167.8 2.0][1.25 180.9 1.7]

	23-21	   23-22	 179.7 °	  22.1 °		2.13					0.3	1.4	3.1	  22.1 °	0.80	2.13	1.97	723775.3	5021872.6	1737.1	82.9		[0.30 287.3 -4.5][0.69 233.4 2.6][1.13 191.7 -4.5][3.09 183.8 -76.0][1.51 239.1 81.7]

	23-22	   23-23	 209.4 °	   4.7 °		3.83				0.6		5.0	2.6	   4.7 °	0.31	3.83	3.82	723773.5	5021869.3	1737.4	86.8		[0.83 150.6 -4.4][1.34 137.7 -2.4][0.66 103.0 -4.7][2.70 121.8 -82.5][27.23 187.6 78.5][5.07 53.6 85.5]

	23-23	   23-24	 118.2 °	  21.8 °		0.64					0.3	3.6	2.9	  21.8 °	0.24	0.64	0.59	723774.0	5021869.0	1737.7	87.4		[2.07 184.4 3.4][0.35 251.8 -0.5][2.88 139.7 -80.2][3.80 208.3 82.4]

	23-24	   23-25	 174.2 °	   3.3 °		2.70				0.4		5.5	2.7	   3.3 °	0.16	2.70	2.70	723774.3	5021866.3	1737.8	90.1		[0.59 98.8 4.4][1.00 62.8 1.1][1.36 332.5 -6.2][0.40 22.6 10.0][2.79 347.7 -78.0][5.57 302.6 87.4]

	23-25	   23-26	  52.4 °	   9.0 °		1.57					0.4	2.0	2.4	   9.0 °	0.25	1.57	1.55	723775.5	5021867.3	1738.1	91.6		[0.39 193.9 -4.2][2.70 130.3 -72.7][2.01 146.0 74.7][1.28 154.0 -6.0][0.80 172.4 -13.0]

	23-26	   23-27	 149.6 °	 -27.1 °		1.34					0.3	2.9	1.6	 -27.1 °	-0.61	1.34	1.19	723776.1	5021866.3	1737.5	92.8		[0.32 262.2 1.6][1.04 209.6 5.2][2.93 210.8 75.9][1.80 174.1 -79.1]

	23-27	   23-28	 223.9 °	  -0.3 °		1.63				0.9		2.9	1.2	  -0.3 °	-0.01	1.63	1.63	723775.0	5021865.1	1737.4	94.4		[0.43 143.4 2.4][0.88 70.7 -6.6][1.19 202.9 -85.5][2.97 118.9 79.5]

	23-28	   23-29	  97.3 °	   9.4 °		1.92					0.3	2.2	1.0	   9.4 °	0.32	1.92	1.89	723776.9	5021864.9	1737.8	96.3		[0.26 204.8 -4.2][0.95 140.1 -2.6][0.48 165.5 -5.0][1.00 100.7 -77.4][2.36 223.7 78.2]

	23-29	   23-30	 155.3 °	  29.4 °		1.23					0.4	2.2	1.5	  29.4 °	0.60	1.23	1.07	723777.4	5021863.9	1738.4	97.4		[0.39 290.2 -0.6][1.48 264.2 -77.6][2.52 248.5 69.6][0.97 250.7 -4.6]

	23-30	   23-31	 263.3 °	  -8.1 °		1.51				0.2		2.5	1.0	  -8.1 °	-0.21	1.51	1.50	723775.9	5021863.7	1738.2	98.9		[0.23 146.1 -13.6][1.28 190.7 -2.9][1.00 252.2 -78.4][2.61 174.5 78.3]

	23-31	   23-32	 171.9 °	  10.1 °		1.59				0.3		2.5	1.1	  10.1 °	0.28	1.59	1.57	723776.2	5021862.2	1738.4	100.5		[0.31 97.3 -3.6][1.24 136.3 0.6][1.71 120.1 0.3][1.16 196.4 -79.1][2.76 111.3 74.2]

	23-32	   23-33	 129.4 °	   5.4 °		1.78					0.3	1.6	0.9	   5.4 °	0.17	1.78	1.77	723777.5	5021861.1	1738.6	102.2		[0.26 256.8 -4.8][0.86 233.7 -8.6][1.60 226.1 82.1][1.04 203.5 -60.5]

	23-33	   23-34	 208.5 °	   3.5 °		1.31				0.3		2.9	0.9	   3.5 °	0.08	1.31	1.31	723776.9	5021859.9	1738.7	103.5		[0.34 51.1 2.5][1.23 85.7 -0.8][1.03 110.5 -2.4][1.04 75.2 -64.0][2.98 125.0 81.1]

	23-34	   23-35	 104.0 °	  13.6 °		2.02					0.6	2.6	1.3	  13.6 °	0.48	2.02	1.96	723778.9	5021859.5	1739.2	105.5		[0.63 224.8 7.1][1.19 185.9 -1.3][2.77 214.5 74.5][1.32 169.1 -79.7]

	23-35	   23-36	 175.1 °	  -2.7 °		1.58					0.5	2.9	0.9	  -2.7 °	-0.07	1.58	1.58	723779.0	5021857.9	1739.1	107.1		[0.45 299.3 -2.8][0.99 265.5 -3.1][0.94 247.4 -80.0][3.11 241.0 78.4]

	23-36	   23-37	 244.6 °	  21.6 °		1.00				0.2		2.5	1.1	  21.6 °	0.37	1.00	0.93	723778.2	5021857.5	1739.4	108.0		[0.25 130.2 0.8][1.15 206.1 -81.6][2.90 164.5 78.8][1.15 174.6 0.7][1.74 158.1 4.9]

	23-37	   23-38	 171.4 °	  17.0 °		3.40					0.6	2.9	1.3	  17.0 °	1.00	3.40	3.25	723778.7	5021854.3	1740.4	111.3		[0.64 271.5 -0.7][0.80 330.3 2.7][0.92 345.2 4.7][1.32 256.3 -0.2][1.55 13.5 -80.2][4.87 280.7 82.4][3.28 297.7 84.4][5.41 269.8 84.3]

	23-38	   23-39	 242.7 °	  36.1 °		2.67				0.5		1.4	2.4	  36.1 °	1.57	2.67	2.16	723776.9	5021853.3	1742.0	113.4		[0.45 101.5 -1.1][0.71 150.5 -10.9][2.67 101.9 -85.1][1.86 133.5 72.0]

	23-39	   23-40	 132.8 °	  17.1 °		1.96					0.3	3.2	2.9	  17.1 °	0.58	1.96	1.87	723778.2	5021852.0	1742.6	115.3		[0.32 264.7 8.7][0.64 210.4 -8.0][1.19 235.1 4.7][3.05 247.1 -71.7][3.45 176.7 77.8]

	23-40	   23-41	 222.2 °	   6.9 °		1.45				0.1		2.8	1.3	   6.9 °	0.17	1.45	1.44	723777.3	5021850.9	1742.8	116.7		[0.09 95.6 -8.0][0.84 142.2 -7.6][1.39 73.2 -71.1][3.13 159.7 70.5]

	23-41	   23-42	 124.5 °	  11.8 °		1.37					0.5	1.8	2.6	  11.8 °	0.28	1.37	1.34	723778.4	5021850.2	1743.1	118.1		[0.73 196.4 1.0][0.80 168.2 2.3][1.86 191.7 81.0][2.85 326.8 -75.1]

	23-42	   23-43	 174.6 °	  11.5 °		1.28				0.6	0.3	1.2	3.0	  11.5 °	0.26	1.28	1.25	723778.6	5021848.9	1743.3	119.3		[0.26 237.9 -3.3][3.07 272.6 -78.6][1.22 137.6 80.8][1.16 136.2 -2.7][0.90 159.4 1.3]

	23-43	   23-44	 160.6 °	  -3.8 °		1.86				0.4		1.9	2.8	  -3.8 °	-0.12	1.86	1.86	723779.2	5021847.2	1743.2	121.2		[0.40 50.1 3.1][2.03 126.1 73.8][2.84 73.8 -80.2][1.89 109.9 -4.2][1.00 119.3 -13.4]

	23-44	   23-45	 122.3 °	   6.1 °		2.11					0.5	2.9	2.7	   6.1 °	0.22	2.11	2.10	723781.0	5021846.1	1743.4	123.3		[0.50 251.8 -0.5][0.66 213.6 -6.6][3.18 318.0 69.3][2.76 122.5 -81.6]

	23-45	   23-46	 187.5 °	 -13.4 °		0.86					0.2	5.1	2.1	 -13.4 °	-0.20	0.86	0.84	723780.9	5021845.3	1743.2	124.1		[0.28 270.7 -1.6][1.47 245.3 1.6][0.95 223.2 -3.6][2.10 158.0 -88.5][5.17 259.2 74.6]

	23-46	   23-47	 240.1 °	  -5.0 °		1.24				0.5	1.8	2.9	2.3	  -5.0 °	-0.11	1.24	1.24	723779.9	5021844.7	1743.1	125.3		[0.95 70.7 2.5][0.59 127.1 15.1][1.75 328.7 2.2][1.93 267.2 12.5][0.79 304.3 16.3][2.35 156.3 -84.3][3.24 170.3 75.4]

E	23-47	   23-48	 153.9 °	  35.4 °		1.76					0.4	0.9	3.3	  35.4 °	1.02	1.76	1.44	723780.5	5021843.4	1744.1	126.8		[0.40 250.5 -1.1][1.79 188.0 2.4][1.45 166.3 9.2][3.34 205.0 -
73.3][1.39 179.8 60.2]

E	23-48	   23-49	 171.8 °	   9.1 °		5.76				0.3		4.4	2.0	   9.1 °	0.91	5.76	5.69	723781.4	5021837.8	1745.0	132.5		[0.30 9.7 -5.8][0.74 76.1 -2.3][1.08 317.4 -3.9][1.69 334.9 5.3]
[2.19 31.4 -82.9][4.95 131.2 80.2][1.05 85.2 24.7]

E	23-49	   23-50	  83.2 °	  26.4 °		1.04					0.7	2.2	2.6	  26.5 °	0.46	1.04	0.93	723782.4	5021837.9	1745.5	133.4		[0.39 200.9 -3.3][0.75 225.8 8.0][0.59 141.7 -10.7][1.36 186.8 -
5.0][2.75 270.3 -76.6][2.68 155.1 63.0]

E	23-50	   23-51	 180.1 °	  -6.5 °		1.65				0.2		4.1	2.5	  -6.5 °	-0.19	1.65	1.64	723782.4	5021836.3	1745.3	135.0		[0.24 67.0 -2.8][0.81 123.9 -4.4][2.54 110.5 -76.3][4.19 90.2 84.6]

E	23-51	   23-52	 123.9 °	  30.8 °		1.49					0.5	1.6	2.8	  30.8 °	0.76	1.49	1.28	723783.5	5021835.6	1746.1	136.3		[0.54 249.3 0.8][1.14 293.1 3.3][0.92 193.2 -0.6][3.24 330.6 -
80.4][1.85 208.0 81.1]

E	23-52	   23-53	 215.5 °	  11.8 °		3.06								  11.8 °	0.62	3.06	3.00	723781.8	5021833.1	1746.7	139.3		

Galerie :	Galerie d'entr�e
Date du lever : 	07/10/2023	Déclinaison = 	2.69 °
Operateurs :	Alain Gervais Barnab�
mesures des longueurs :	DistoX
mesures des Azimuts :	DistoX	 en degrés
mesures des Pentes :	DistoX	 en degrés
	23-47	>> Ma1	 164.9 °	  32.3 °		6.13					0.4	1.2	2.9	  32.3 °	3.28	6.13	5.18	723781.2	5021839.6	1746.4	130.5		 d�part dans le premier angle de la boucle de m�andre

	23-47	    -- -->  	 330.3 °	 -35.8 °		0.13								 -35.8 °	-0.08	0.13	0.11	723779.8	5021844.7	1743.0	125.5		

	23-47	    -- -->  	 258.5 °	 -60.3 °		0.14								 -60.3 °	-0.12	0.14	0.07	723779.8	5021844.6	1743.0	125.4		

	23-47	    -- -->  	 324.6 °	  41.0 °		2.45								  41.0 °	1.61	2.45	1.85	723778.8	5021846.2	1744.7	127.2		

