Cavité :	Puits du 8 ao�t
Système de coordonnées : UTM - fuseau 31
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		8a1																724130.5	5021903.9	1912.0			

Galerie :	Galerie d'entr�e
Date du lever : 	02/09/2012	Déclinaison = 	1.01 °
Operateurs :	?ric Sanson notes	Serge Caillault length compass clino
mesures des longueurs :	DistoX
mesures des Azimuts :	DistoX	 en degrés
mesures des Pentes :	DistoX	 en degrés
	8a9	    -- -->  	 231.4 °	  82.7 °		7.27								  82.7 °	7.21	7.27	0.93	724139.7	5021888.5	1878.6	28.8		

	8a9	    -- -->  	 129.2 °	 -85.7 °		0.92								 -85.7 °	-0.92	0.92	0.07	724140.5	5021889.0	1870.4	27.9		

	8a9	    -- -->  	 295.9 °	  52.5 °		3.18								  52.5 °	2.52	3.18	1.93	724138.7	5021889.9	1873.9	29.8		

	8a9	   8a10	 194.9 °	 -11.5 °		3.15				0.9	0.4	3.5	2.9	 -11.5 °	-0.63	3.15	3.09	724139.7	5021886.1	1870.7	30.9		

	8a10	    -- -->  	  70.4 °	  -4.9 °		0.96								  -4.9 °	-0.08	0.96	0.95	724140.6	5021886.4	1870.7	31.9		

	8a10	    -- -->  	 235.7 °	  -3.4 °		0.40								  -3.4 °	-0.02	0.40	0.40	724139.4	5021885.8	1870.7	31.3		

	8a10	    -- -->  	  82.4 °	  85.6 °		3.54								  85.6 °	3.53	3.54	0.27	724140.0	5021886.1	1874.3	31.2		

	8a10	    -- -->  	  86.8 °	 -85.3 °		2.90								 -85.3 °	-2.90	2.90	0.24	724139.9	5021886.1	1867.8	31.1		

	8a10	   8a11	 137.6 °	 -59.1 °		4.43				0.4	0.7	3.3	0.5	 -59.1 °	-3.80	4.43	2.27	724141.2	5021884.4	1866.9	33.2		

	8a11	    -- -->  	 154.2 °	  -1.1 °		0.53								  -1.1 °	-0.01	0.53	0.53	724141.5	5021883.9	1866.9	33.7		

	8a11	    -- -->  	 299.7 °	 -12.2 °		0.74								 -12.2 °	-0.16	0.74	0.73	724140.6	5021884.8	1866.8	33.9		

	8a11	    -- -->  	  31.4 °	  86.5 °		3.25								  86.5 °	3.25	3.25	0.20	724141.3	5021884.6	1870.2	33.4		

	8a11	    -- -->  	 259.0 °	 -85.2 °		0.50								 -85.2 °	-0.50	0.50	0.04	724141.2	5021884.4	1866.4	33.2		

